Question, Response

How mentally demanding was the task,  8
How physically demanding was the task,  8
How hurried or rushed was the pace of the task,  18
How successful were you in accomplishing what you were asked to do,  20
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  0
*********
Preferred gender,  Male
Age in years,  21
How would you describe your past experience with virtual reality,  5
How natural did you find the Virtual Environment,  4
Round Goby,  3
Yellow Perch,  5
Eurasian Ruffe,  2
