Question, Response

How mentally demanding was the task,  13
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  15
How successful were you in accomplishing what you were asked to do,  12
How hard did you have to work to accomplish your level of performance,  11
How insecure discouraged irritated stressed and annoyed were you,  3
*********
Preferred gender,  Male
Age in years,  19
How would you describe your past experience with virtual reality,  6
How natural did you find the Virtual Environment,  5
Round Goby,  3
Yellow Perch,  2
Eurasian Ruffe,  0
