Question, Response

How mentally demanding was the task,  13
How physically demanding was the task,  5
How hurried or rushed was the pace of the task,  11
How successful were you in accomplishing what you were asked to do,  6
How hard did you have to work to accomplish your level of performance,  14
How insecure discouraged irritated stressed and annoyed were you,  11
*********
Preferred gender,  male
Age in years,  21
How would you describe your past experience with virtual reality,  0
How natural did you find the Virtual Environment,  0
Round Goby,  0
Yellow Perch,  0
Eurasian Ruffe,  0
