Question, Response

How mentally demanding was the task,  2
How physically demanding was the task,  1
How hurried or rushed was the pace of the task,  9
How successful were you in accomplishing what you were asked to do,  10
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  2
*********
Preferred gender,  male
Age in years,  21
How would you describe your past experience with virtual reality,  4
How natural did you find the Virtual Environment,  1
Round Goby,  0
Yellow Perch,  5
Eurasian Ruffe,  0
