Question, Response

How mentally demanding was the task,  15
How physically demanding was the task,  3
How hurried or rushed was the pace of the task,  11
How successful were you in accomplishing what you were asked to do,  13
How hard did you have to work to accomplish your level of performance,  15
How insecure discouraged irritated stressed and annoyed were you,  12
*********
Preferred gender,  Male
Age in years,  26
How would you describe your past experience with virtual reality,  3
How natural did you find the Virtual Environment,  2
Round Goby,  0
Yellow Perch,  1
Eurasian Ruffe,  2
