Question, Response

How mentally demanding was the task,  14
How physically demanding was the task,  3
How hurried or rushed was the pace of the task,  14
How successful were you in accomplishing what you were asked to do,  9
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  13
*********
Preferred gender,  Female
Age in years,  19
How would you describe your past experience with virtual reality,  1
How natural did you find the Virtual Environment,  4
Round Goby,  0
Yellow Perch,  0
Eurasian Ruffe,  0
