Question, Response

How mentally demanding was the task,  18
How physically demanding was the task,  10
How hurried or rushed was the pace of the task,  10
How successful were you in accomplishing what you were asked to do,  7
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  10
*********
Preferred gender,  Male
Age in years,  33
How would you describe your past experience with virtual reality,  3
How natural did you find the Virtual Environment,  1
Round Goby,  0
Yellow Perch,  0
Eurasian Ruffe,  0
