Question, Response

How mentally demanding was the task,  17
How physically demanding was the task,  6
How hurried or rushed was the pace of the task,  17
How successful were you in accomplishing what you were asked to do,  6
How hard did you have to work to accomplish your level of performance,  17
How insecure discouraged irritated stressed and annoyed were you,  15
*********
Preferred gender,  Male
Age in years,  22
How would you describe your past experience with virtual reality,  6
How natural did you find the Virtual Environment,  5
Round Goby,  1
Yellow Perch,  1
Eurasian Ruffe,  0
