Question, Response

How mentally demanding was the task,  7
How physically demanding was the task,  2
How hurried or rushed was the pace of the task,  13
How successful were you in accomplishing what you were asked to do,  13
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  8
*********
Preferred gender,  MALE
Age in years,  33
How would you describe your past experience with virtual reality,  3
How natural did you find the Virtual Environment,  3
Round Goby,  3
Yellow Perch,  4
Eurasian Ruffe,  1
