Question, Response

How mentally demanding was the task,  10
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  1
How successful were you in accomplishing what you were asked to do,  20
How hard did you have to work to accomplish your level of performance,  5
How insecure discouraged irritated stressed and annoyed were you,  0
*********
Preferred gender,  Male
Age in years,  18
How would you describe your past experience with virtual reality,  1
How natural did you find the Virtual Environment,  2
Round Goby,  1
Yellow Perch,  6
Eurasian Ruffe,  0
