Question, Response

How mentally demanding was the task,  20
How physically demanding was the task,  10
How hurried or rushed was the pace of the task,  15
How successful were you in accomplishing what you were asked to do,  10
How hard did you have to work to accomplish your level of performance,  10
How insecure discouraged irritated stressed and annoyed were you,  5
*********
Preferred gender,  Male 
Age in years,  21
How would you describe your past experience with virtual reality,  0
How natural did you find the Virtual Environment,  3
Round Goby,  6
Yellow Perch,  3
Eurasian Ruffe,  0
