Question, Response

How mentally demanding was the task,  14
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  13
How successful were you in accomplishing what you were asked to do,  8
How hard did you have to work to accomplish your level of performance,  15
How insecure discouraged irritated stressed and annoyed were you,  11
*********
Preferred gender,  Male
Age in years,  20
How would you describe your past experience with virtual reality,  4
How natural did you find the Virtual Environment,  3
Round Goby,  4
Yellow Perch,  2
Eurasian Ruffe,  5
