Question, Response

How mentally demanding was the task,  0
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  0
How successful were you in accomplishing what you were asked to do,  11
How hard did you have to work to accomplish your level of performance,  0
How insecure discouraged irritated stressed and annoyed were you,  3
*********
Preferred gender,  male
Age in years,  26
How would you describe your past experience with virtual reality,  5
How natural did you find the Virtual Environment,  4
Round Goby,  0
Yellow Perch,  0
Eurasian Ruffe,  0
