Question, Response

How mentally demanding was the task,  5
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  0
How successful were you in accomplishing what you were asked to do,  13
How hard did you have to work to accomplish your level of performance,  4
How insecure discouraged irritated stressed and annoyed were you,  1
*********
Preferred gender,  Male
Age in years,  20
How would you describe your past experience with virtual reality,  1
How natural did you find the Virtual Environment,  1
Round Goby,  0
Yellow Perch,  1
Eurasian Ruffe,  0
