Question, Response

How mentally demanding was the task,  20
How physically demanding was the task,  10
How hurried or rushed was the pace of the task,  13
How successful were you in accomplishing what you were asked to do,  13
How hard did you have to work to accomplish your level of performance,  12
How insecure discouraged irritated stressed and annoyed were you,  12
*********
Preferred gender,  male
Age in years,  25
How would you describe your past experience with virtual reality,  1
How natural did you find the Virtual Environment,  1
Round Goby,  3
Yellow Perch,  4
Eurasian Ruffe,  3
