Question, Response

How mentally demanding was the task,  1
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  12
How successful were you in accomplishing what you were asked to do,  8
How hard did you have to work to accomplish your level of performance,  2
How insecure discouraged irritated stressed and annoyed were you,  0
*********
Preferred gender,  Male
Age in years,  20
How would you describe your past experience with virtual reality,  0
How natural did you find the Virtual Environment,  0
Round Goby,  0
Yellow Perch,  0
Eurasian Ruffe,  0
